ITEM,STUB
,DPSF1.  SEX AND AGE [57]
,Universe:  Total population
DP0010001,Total:
DP0010002, Under 5 years
DP0010003, 5 to 9 years
DP0010004, 10 to 14 years
DP0010005, 15 to 19 years
DP0010006, 20 to 24 years
DP0010007, 25 to 29 years
DP0010008, 30 to 34 years
DP0010009, 35 to 39 years
DP0010010, 40 to 44 years
DP0010011, 45 to 49 years
DP0010012, 50 to 54 years
DP0010013, 55 to 59 years
DP0010014, 60 to 64 years
DP0010015, 65 to 69 years
DP0010016, 70 to 74 years
DP0010017, 75 to 79 years
DP0010018, 80 to 84 years
DP0010019, 85 years and over
DP0010020,Male:
DP0010021, Under 5 years
DP0010022, 5 to 9 years
DP0010023, 10 to 14 years
DP0010024, 15 to 19 years
DP0010025, 20 to 24 years
DP0010026, 25 to 29 years
DP0010027, 30 to 34 years
DP0010028, 35 to 39 years
DP0010029, 40 to 44 years
DP0010030, 45 to 49 years
DP0010031, 50 to 54 years
DP0010032, 55 to 59 years
DP0010033, 60 to 64 years
DP0010034, 65 to 69 years
DP0010035, 70 to 74 years
DP0010036, 75 to 79 years
DP0010037, 80 to 84 years
DP0010038, 85 years and over
DP0010039,Female:
DP0010040, Under 5 years
DP0010041, 5 to 9 years
DP0010042, 10 to 14 years
DP0010043, 15 to 19 years
DP0010044, 20 to 24 years
DP0010045, 25 to 29 years
DP0010046, 30 to 34 years
DP0010047, 35 to 39 years
DP0010048, 40 to 44 years
DP0010049, 45 to 49 years
DP0010050, 50 to 54 years
DP0010051, 55 to 59 years
DP0010052, 60 to 64 years
DP0010053, 65 to 69 years
DP0010054, 70 to 74 years
DP0010055, 75 to 79 years
DP0010056, 80 to 84 years
DP0010057, 85 years and over
,
,DPSF2.  MEDIAN AGE BY SEX [3]  (1 expressed decimal)
,Universe:  Total population
,Median age-
DP0020001,Both sexes
DP0020002, Male
DP0020003, Female
,
,DPSF3.  SEX FOR THE POPULATION 16 YEARS AND OVER [3]
